# Zhang, Linbo; Cui, Tao; Liu, Hui. A set of symmetric quadrature rules on triangles and tetrahedra. J. Comput. Math. 27 (2009), no. 1, 89--96. See also the referenced library PHG version 0.9.2 that can be found at http://lsec.cc.ac.cn/phg/index_en.htm
3 8
3.96754230703899012650713295393894900e-02 3.96754230703899012650713295393894900e-02 3.96754230703899012650713295393894900e-02 1.06619129665038688690857005586217000e-03
8.80973730788830296204786011381831530e-01 3.96754230703899012650713295393894900e-02 3.96754230703899012650713295393894900e-02 1.06619129665038688690857005586217000e-03
3.96754230703899012650713295393894900e-02 8.80973730788830296204786011381831530e-01 3.96754230703899012650713295393894900e-02 1.06619129665038688690857005586217000e-03
3.96754230703899012650713295393894900e-02 3.96754230703899012650713295393894900e-02 8.80973730788830296204786011381831530e-01 1.06619129665038688690857005586217000e-03
3.14487800698096313784160562697148300e-01 3.14487800698096313784160562697148300e-01 3.14487800698096313784160562697148300e-01 6.69840800349436208136019307996963833e-03
5.65365979057110586475183119085551000e-02 3.14487800698096313784160562697148300e-01 3.14487800698096313784160562697148300e-01 6.69840800349436208136019307996963833e-03
3.14487800698096313784160562697148300e-01 5.65365979057110586475183119085551000e-02 3.14487800698096313784160562697148300e-01 6.69840800349436208136019307996963833e-03
3.14487800698096313784160562697148300e-01 3.14487800698096313784160562697148300e-01 5.65365979057110586475183119085551000e-02 6.69840800349436208136019307996963833e-03
1.01986693062703300000000000000000000e-01 1.01986693062703300000000000000000000e-01 1.01986693062703300000000000000000000e-01 4.05132925079505352914485146198710000e-03
6.94039920811890100000000000000000000e-01 1.01986693062703300000000000000000000e-01 1.01986693062703300000000000000000000e-01 4.05132925079505352914485146198710000e-03
1.01986693062703300000000000000000000e-01 6.94039920811890100000000000000000000e-01 1.01986693062703300000000000000000000e-01 4.05132925079505352914485146198710000e-03
1.01986693062703300000000000000000000e-01 1.01986693062703300000000000000000000e-01 6.94039920811890100000000000000000000e-01 4.05132925079505352914485146198710000e-03
1.84203696949191512275946417348909180e-01 1.84203696949191512275946417348909180e-01 1.84203696949191512275946417348909180e-01 9.14314873561624007782068733173190667e-03
4.47388909152425463172160747953272460e-01 1.84203696949191512275946417348909180e-01 1.84203696949191512275946417348909180e-01 9.14314873561624007782068733173190667e-03
1.84203696949191512275946417348909180e-01 4.47388909152425463172160747953272460e-01 1.84203696949191512275946417348909180e-01 9.14314873561624007782068733173190667e-03
1.84203696949191512275946417348909180e-01 1.84203696949191512275946417348909180e-01 4.47388909152425463172160747953272460e-01 9.14314873561624007782068733173190667e-03
6.34362877545398924051412387018982700e-02 4.36563712245460107594858761298101730e-01 4.36563712245460107594858761298101730e-01 5.95326870568319707749182816610293667e-03
4.36563712245460107594858761298101730e-01 6.34362877545398924051412387018982700e-02 4.36563712245460107594858761298101730e-01 5.95326870568319707749182816610293667e-03
4.36563712245460107594858761298101730e-01 4.36563712245460107594858761298101730e-01 6.34362877545398924051412387018982700e-02 5.95326870568319707749182816610293667e-03
6.34362877545398924051412387018982700e-02 4.36563712245460107594858761298101730e-01 6.34362877545398924051412387018982700e-02 5.95326870568319707749182816610293667e-03
6.34362877545398924051412387018982700e-02 6.34362877545398924051412387018982700e-02 4.36563712245460107594858761298101730e-01 5.95326870568319707749182816610293667e-03
4.36563712245460107594858761298101730e-01 6.34362877545398924051412387018982700e-02 6.34362877545398924051412387018982700e-02 5.95326870568319707749182816610293667e-03
2.16901620677280048026624826249301800e-02 7.19931922039465935889434953352734780e-01 2.36687753825078054505240081397404860e-01 1.19719844964208990157518420330062667e-03
2.16901620677280048026624826249301800e-02 2.36687753825078054505240081397404860e-01 7.19931922039465935889434953352734780e-01 1.19719844964208990157518420330062667e-03
7.19931922039465935889434953352734780e-01 2.16901620677280048026624826249301800e-02 2.36687753825078054505240081397404860e-01 1.19719844964208990157518420330062667e-03
7.19931922039465935889434953352734780e-01 2.36687753825078054505240081397404860e-01 2.16901620677280048026624826249301800e-02 1.19719844964208990157518420330062667e-03
2.36687753825078054505240081397404860e-01 2.16901620677280048026624826249301800e-02 7.19931922039465935889434953352734780e-01 1.19719844964208990157518420330062667e-03
2.36687753825078054505240081397404860e-01 7.19931922039465935889434953352734780e-01 2.16901620677280048026624826249301800e-02 1.19719844964208990157518420330062667e-03
2.16901620677280048026624826249301800e-02 2.16901620677280048026624826249301800e-02 2.36687753825078054505240081397404860e-01 1.19719844964208990157518420330062667e-03
2.16901620677280048026624826249301800e-02 2.36687753825078054505240081397404860e-01 2.16901620677280048026624826249301800e-02 1.19719844964208990157518420330062667e-03
2.36687753825078054505240081397404860e-01 2.16901620677280048026624826249301800e-02 2.16901620677280048026624826249301800e-02 1.19719844964208990157518420330062667e-03
2.16901620677280048026624826249301800e-02 2.16901620677280048026624826249301800e-02 7.19931922039465935889434953352734780e-01 1.19719844964208990157518420330062667e-03
2.16901620677280048026624826249301800e-02 7.19931922039465935889434953352734780e-01 2.16901620677280048026624826249301800e-02 1.19719844964208990157518420330062667e-03
7.19931922039465935889434953352734780e-01 2.16901620677280048026624826249301800e-02 2.16901620677280048026624826249301800e-02 1.19719844964208990157518420330062667e-03
2.04480080636795714241335574872745340e-01 5.80577190128809224175398171390620410e-01 1.04626485975993473419306788638889100e-02 2.72869699088651959015635662601985500e-03
2.04480080636795714241335574872745340e-01 1.04626485975993473419306788638889100e-02 5.80577190128809224175398171390620410e-01 2.72869699088651959015635662601985500e-03
5.80577190128809224175398171390620410e-01 2.04480080636795714241335574872745340e-01 1.04626485975993473419306788638889100e-02 2.72869699088651959015635662601985500e-03
