# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 5
8.41565025531986612774034622684035066e-01 5.00000000000000000000000000000000000e-01 2.04081632653061224489795918367346939e-01
5.00000000000000000000000000000000000e-01 8.41565025531986612774034622684035066e-01 2.04081632653061224489795918367346939e-01
1.58434974468013387225965377315964934e-01 5.00000000000000000000000000000000000e-01 2.04081632653061224489795918367346939e-01
5.00000000000000000000000000000000000e-01 1.58434974468013387225965377315964934e-01 2.04081632653061224489795918367346939e-01
9.40958551844098431750269292273210071e-01 9.40958551844098431750269292273210071e-01 4.59183673469387755102040816326530612e-02
9.40958551844098431750269292273210071e-01 5.90414481559015682497307077267899290e-02 4.59183673469387755102040816326530612e-02
5.90414481559015682497307077267899290e-02 9.40958551844098431750269292273210071e-01 4.59183673469387755102040816326530612e-02
5.90414481559015682497307077267899290e-02 5.90414481559015682497307077267899290e-02 4.59183673469387755102040816326530612e-02
