# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 3
7.88675134594812882254574390250978728e-01 7.88675134594812882254574390250978728e-01 2.50000000000000000000000000000000000e-01
7.88675134594812882254574390250978728e-01 2.11324865405187117745425609749021272e-01 2.50000000000000000000000000000000000e-01
2.11324865405187117745425609749021272e-01 7.88675134594812882254574390250978728e-01 2.50000000000000000000000000000000000e-01
2.11324865405187117745425609749021272e-01 2.11324865405187117745425609749021272e-01 2.50000000000000000000000000000000000e-01
