2 12
4.88203750945541551778008123868814757e-01 2.35924981089168964439837522623704862e-02 1.21334190407260165753589862878040419e-02
2.35924981089168964439837522623704862e-02 4.88203750945541551778008123868814757e-01 1.21334190407260165753589862878040419e-02
4.88203750945541551778008123868814757e-01 4.88203750945541551778008123868814757e-01 1.21334190407260165753589862878040419e-02
1.09257827659354290583747312004308745e-01 7.81484344681291418832505375991382509e-01 1.42430260344387724998472369537577231e-02
7.81484344681291418832505375991382509e-01 1.09257827659354290583747312004308745e-01 1.42430260344387724998472369537577231e-02
1.09257827659354290583747312004308745e-01 1.09257827659354290583747312004308745e-01 1.42430260344387724998472369537577231e-02
2.71462507014926084877995948022545099e-01 4.57074985970147830244008103954909803e-01 3.12706065979513802346618907227599196e-02
4.57074985970147830244008103954909803e-01 2.71462507014926084877995948022545099e-01 3.12706065979513802346618907227599196e-02
2.71462507014926084877995948022545099e-01 2.71462507014926084877995948022545099e-01 3.12706065979513802346618907227599196e-02
2.46463634363355947667311972143345782e-02 9.50707273127328810466537605571330844e-01 3.96582125498681922965739395292986724e-03
9.50707273127328810466537605571330844e-01 2.46463634363355947667311972143345782e-02 3.96582125498681922965739395292986724e-03
2.46463634363355947667311972143345782e-02 2.46463634363355947667311972143345782e-02 3.96582125498681922965739395292986724e-03
4.40111648658593111013453703072908191e-01 1.19776702682813777973092593854183618e-01 2.49591674640304710595258610304971505e-02
1.19776702682813777973092593854183618e-01 4.40111648658593111013453703072908191e-01 2.49591674640304710595258610304971505e-02
4.40111648658593111013453703072908191e-01 4.40111648658593111013453703072908191e-01 2.49591674640304710595258610304971505e-02
2.91655679738340960533913811933940617e-01 6.85310163906391899984444686137130251e-01 1.08917925193037789663157181696459109e-02
6.85310163906391899984444686137130251e-01 2.91655679738340960533913811933940617e-01 1.08917925193037789663157181696459109e-02
2.30341563552671394816415019289291321e-02 6.85310163906391899984444686137130251e-01 1.08917925193037789663157181696459109e-02
6.85310163906391899984444686137130251e-01 2.30341563552671394816415019289291321e-02 1.08917925193037789663157181696459109e-02
2.30341563552671394816415019289291321e-02 2.91655679738340960533913811933940617e-01 1.08917925193037789663157181696459109e-02
2.91655679738340960533913811933940617e-01 2.30341563552671394816415019289291321e-02 1.08917925193037789663157181696459109e-02
1.16296019677926586630748134149701139e-01 6.28249751683556066837896138367229198e-01 2.16136818297071052745666354584296148e-02
6.28249751683556066837896138367229198e-01 1.16296019677926586630748134149701139e-01 2.16136818297071052745666354584296148e-02
2.55454228638517346531355727483069663e-01 6.28249751683556066837896138367229198e-01 2.16136818297071052745666354584296148e-02
6.28249751683556066837896138367229198e-01 2.55454228638517346531355727483069663e-01 2.16136818297071052745666354584296148e-02
2.55454228638517346531355727483069663e-01 1.16296019677926586630748134149701139e-01 2.16136818297071052745666354584296148e-02
1.16296019677926586630748134149701139e-01 2.55454228638517346531355727483069663e-01 2.16136818297071052745666354584296148e-02
8.51337792510240041618003610432058449e-01 1.27279717233589368787841874747382339e-01 7.54183878825571929292529523138345640e-03
1.27279717233589368787841874747382339e-01 8.51337792510240041618003610432058449e-01 7.54183878825571929292529523138345640e-03
2.13824902561705895941545148205592125e-02 1.27279717233589368787841874747382339e-01 7.54183878825571929292529523138345640e-03
1.27279717233589368787841874747382339e-01 2.13824902561705895941545148205592125e-02 7.54183878825571929292529523138345640e-03
2.13824902561705895941545148205592125e-02 8.51337792510240041618003610432058449e-01 7.54183878825571929292529523138345640e-03
8.51337792510240041618003610432058449e-01 2.13824902561705895941545148205592125e-02 7.54183878825571929292529523138345640e-03
