# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 2
1.66666666666666666666666666666666667e-01 6.66666666666666666666666666666666667e-01 1.66666666666666666666666666666666667e-01
6.66666666666666666666666666666666667e-01 1.66666666666666666666666666666666667e-01 1.66666666666666666666666666666666667e-01
1.66666666666666666666666666666666667e-01 1.66666666666666666666666666666666667e-01 1.66666666666666666666666666666666667e-01
