# Witherden, F. D.; Vincent, P. E. On the identification of symmetric quadrature rules for finite element methods. Comput. Math. Appl. 69 (2015), no. 10, 1232-1241
2 15
3.33333333333333333333333333333333333e-01 3.33333333333333333333333333333333333e-01 2.21676936910920376937996703285162020e-02
4.05362214133975477866756110719750859e-01 1.89275571732049044266487778560498282e-01 2.13568907857302835206814596864170902e-02
1.89275571732049044266487778560498282e-01 4.05362214133975477866756110719750859e-01 2.13568907857302835206814596864170902e-02
4.05362214133975477866756110719750859e-01 4.05362214133975477866756110719750859e-01 2.13568907857302835206814596864170902e-02
7.01735528999860174843597521434286046e-02 8.59652894200027965031280495713142791e-01 8.22236878131258188434000434425456473e-03
8.59652894200027965031280495713142791e-01 7.01735528999860174843597521434286046e-02 8.22236878131258188434000434425456473e-03
7.01735528999860174843597521434286046e-02 7.01735528999860174843597521434286046e-02 8.22236878131258188434000434425456473e-03
4.74170681438019791978690695274105906e-01 5.16586371239604160426186094517881883e-02 8.69807400038170727886327544212737666e-03
5.16586371239604160426186094517881883e-02 4.74170681438019791978690695274105906e-01 8.69807400038170727886327544212737666e-03
4.74170681438019791978690695274105906e-01 4.74170681438019791978690695274105906e-01 8.69807400038170727886327544212737666e-03
2.26378713420349598290725581084619303e-01 5.47242573159300803418548837830761395e-01 2.33916808643548161781344473903871196e-02
5.47242573159300803418548837830761395e-01 2.26378713420349598290725581084619303e-01 2.33916808643548161781344473903871196e-02
2.26378713420349598290725581084619303e-01 2.26378713420349598290725581084619303e-01 2.33916808643548161781344473903871196e-02
4.94996956769126184237799647683910859e-01 1.00060864617476315244007046321782821e-02 4.78692309123004310328462681329677935e-03
1.00060864617476315244007046321782821e-02 4.94996956769126184237799647683910859e-01 4.78692309123004310328462681329677935e-03
4.94996956769126184237799647683910859e-01 4.94996956769126184237799647683910859e-01 4.78692309123004310328462681329677935e-03
1.58117262509886455589517337838675302e-02 9.68376547498022708882096532432264940e-01 1.48038731895268778463815131918246969e-03
9.68376547498022708882096532432264940e-01 1.58117262509886455589517337838675302e-02 1.48038731895268778463815131918246969e-03
1.58117262509886455589517337838675302e-02 1.58117262509886455589517337838675302e-02 1.48038731895268778463815131918246969e-03
1.83761123856810919610443955813959183e-02 6.66975644801868089946323539203712100e-01 7.80128641528798237588745791425021158e-03
6.66975644801868089946323539203712100e-01 1.83761123856810919610443955813959183e-02 7.80128641528798237588745791425021158e-03
3.14648242812450818092632065214891982e-01 6.66975644801868089946323539203712100e-01 7.80128641528798237588745791425021158e-03
6.66975644801868089946323539203712100e-01 3.14648242812450818092632065214891982e-01 7.80128641528798237588745791425021158e-03
3.14648242812450818092632065214891982e-01 1.83761123856810919610443955813959183e-02 7.80128641528798237588745791425021158e-03
1.83761123856810919610443955813959183e-02 3.14648242812450818092632065214891982e-01 7.80128641528798237588745791425021158e-03
9.13923703730839503655181749098651810e-03 9.19912157726236064902860595296792374e-01 2.01492668600904980918216745542825391e-03
9.19912157726236064902860595296792374e-01 9.13923703730839503655181749098651810e-03 2.01492668600904980918216745542825391e-03
7.09486052364555400605875872122211079e-02 9.19912157726236064902860595296792374e-01 2.01492668600904980918216745542825391e-03
9.19912157726236064902860595296792374e-01 7.09486052364555400605875872122211079e-02 2.01492668600904980918216745542825391e-03
7.09486052364555400605875872122211079e-02 9.13923703730839503655181749098651810e-03 2.01492668600904980918216745542825391e-03
9.13923703730839503655181749098651810e-03 7.09486052364555400605875872122211079e-02 2.01492668600904980918216745542825391e-03
1.90535589476393933430690249685964140e-01 7.15222356931450701883979368783730442e-01 1.43602934626006701153328208358254280e-02
7.15222356931450701883979368783730442e-01 1.90535589476393933430690249685964140e-01 1.43602934626006701153328208358254280e-02
9.42420535921553646853303815303054182e-02 7.15222356931450701883979368783730442e-01 1.43602934626006701153328208358254280e-02
7.15222356931450701883979368783730442e-01 9.42420535921553646853303815303054182e-02 1.43602934626006701153328208358254280e-02
9.42420535921553646853303815303054182e-02 1.90535589476393933430690249685964140e-01 1.43602934626006701153328208358254280e-02
1.90535589476393933430690249685964140e-01 9.42420535921553646853303815303054182e-02 1.43602934626006701153328208358254280e-02
1.68068645222414355464777588583629461e-01 8.13292641049419269912258313013357969e-01 5.83631059078792266978850277216829296e-03
8.13292641049419269912258313013357969e-01 1.68068645222414355464777588583629461e-01 5.83631059078792266978850277216829296e-03
1.86387137281663746229640984030125708e-02 8.13292641049419269912258313013357969e-01 5.83631059078792266978850277216829296e-03
8.13292641049419269912258313013357969e-01 1.86387137281663746229640984030125708e-02 5.83631059078792266978850277216829296e-03
1.86387137281663746229640984030125708e-02 1.68068645222414355464777588583629461e-01 5.83631059078792266978850277216829296e-03
1.68068645222414355464777588583629461e-01 1.86387137281663746229640984030125708e-02 5.83631059078792266978850277216829296e-03
3.38950611475277189214593004670451982e-01 5.65252664877114214451851934366756288e-01 1.56577381424846422058714568030757464e-02
5.65252664877114214451851934366756288e-01 3.38950611475277189214593004670451982e-01 1.56577381424846422058714568030757464e-02
9.57967236476085963335550609627917304e-02 5.65252664877114214451851934366756288e-01 1.56577381424846422058714568030757464e-02
5.65252664877114214451851934366756288e-01 9.57967236476085963335550609627917304e-02 1.56577381424846422058714568030757464e-02
9.57967236476085963335550609627917304e-02 3.38950611475277189214593004670451982e-01 1.56577381424846422058714568030757464e-02
3.38950611475277189214593004670451982e-01 9.57967236476085963335550609627917304e-02 1.56577381424846422058714568030757464e-02
